;country_name;country_code;year;AG.LND.AGRI.ZS;AG.LND.ARBL.ZS;AG.LND.FRST.ZS;BX.KLT.DINV.WD.GD.ZS;EG.ELC.COAL.ZS;EG.ELC.HYRO.ZS;EG.ELC.NGAS.ZS;EG.ELC.NUCL.ZS;EG.ELC.PETR.ZS;EG.ELC.RNEW.ZS;EG.ELC.RNWX.KH;EG.ELC.RNWX.ZS;EG.USE.ELEC.KH.PC;EG.USE.PCAP.KG.OE;EN.ATM.CO2E.GF.ZS;EN.ATM.CO2E.LF.ZS;EN.ATM.CO2E.PC;EN.ATM.CO2E.SF.ZS;EN.ATM.GHGO.KT.CE;EN.ATM.METH.KT.CE;EN.ATM.NOXE.KT.CE;NV.AGR.TOTL.ZS;SH.DYN.MORT;SP.POP.GROW;SP.POP.TOTL;SP.URB.GROW;SP.URB.TOTL.IN.ZS;IncomeGroup;gdp
0;Afghanistan;AFG;1990;58,3229842233568;12,1276236910292;1,85278199408184;;;;;;;67,7304964539007;;;;;13,6273648648649;62,5619932432432;0,2225381391099;9,41527027027027;935,064407348629;6739,99977111816;2840,0;;178,5;0,202433955671883;10694796,0;0,623574329460614;21,177;Low income;
1;Afghanistan;AFG;1991;58,3076522085767;12,1276236910292;1,85278199408184;;;;;;;67,9802955665025;;;;;14,186204379562;62,7672627737226;0,207535164413917;9,10058394160584;765,938262939449;7019,99998092651;2930,0;;172,2;0,469880406765633;10745167,0;0,889255391381243;21,266;Low income;
2;Afghanistan;AFG;1992;58,3076522085767;12,1276236910292;1,85278199408184;;;;;;;67,9943100995733;;;;;25,3869230769231;64,8776923076923;0,115281586055672;1,5386013986014;-263,076820373541;7130,00011444092;2890,0;;166,3;11,5225244151801;12057433,0;11,9401759977564;21,355;Low income;
3;Afghanistan;AFG;1993;58,1604648666881;11,9957683639207;1,85278199408184;;;;;;;68,3453237410072;;;;;25,8847058823529;65,7902941176471;0,0956885864939131;1,34816176470588;-325,708999633789;7210,00003814697;2930,0;;160,8;14,9644548746872;14003760,0;15,3803361368896;21,444;Low income;
4;Afghanistan;AFG;1994;57,9749474878494;11,810250985082;1,85278199408184;;;;;;;68,7045123726346;;;;;25,9510769230769;66,006;0,0834651359980279;1,12830769230769;-650,316902160641;7469,99979019165;2760,0;;155,5;9,86426206628341;15455555,0;10,2830849918572;21,534;Low income;
5;Afghanistan;AFG;1995;57,882955399169;11,7335909111816;1,85278199408184;;;;;;;69,037037037037;;;;;25,81568;66,006;0,0755226655700451;1,17344;-1003,03075408936;7829,99992370605;2880,0;;150,6;6,04653555233991;16418912,0;6,46362794435513;21,624;Low income;
6;Afghanistan;AFG;1996;57,881422197691;11,7243917023136;1,85278199408184;;;;;;;70,3703703703704;;;;;26,1040677966102;66,1924576271187;0,0689792445545125;0,621525423728813;-1066,2607460022;8670,00007629395;3120,0;;146,0;4,1030220499493;17106595,0;4,51834828935036;21,714;Low income;
7;Afghanistan;AFG;1997;57,9396838538552;11,7826533584778;1,85278199408184;;;;;;;72,3880597014925;;;;;25,669;66,006;0,0618365952231005;0,333363636363636;-1008,48352432251;9399,99961853027;3430,0;;141,6;3,9106052193522;17788819,0;4,32881543850933;21,805;Low income;
8;Afghanistan;AFG;1998;58,0577403676617;11,8930438648943;1,85278199408184;;;;;;;74,4360902255639;;;;;25,1451428571429;65,6567619047619;0,0562370938573304;0,349238095238095;-992,5396156311;9960,00003814697;3720,0;;137,3;3,88293060489748;18493132,0;4,29482385236621;21,895;Low income;
9;Afghanistan;AFG;1999;57,882955399169;11,7335909111816;1,85278199408184;;;;;;;73,7226277372263;;;;;29,5148780487805;60,3713414634146;0,0420498589850192;0,447195121951219;-1274,8111000061;10779,9997329712;4000,0;;133,3;4,07787948472197;19262847,0;4,49265521188791;21,986;Low income;
